X, Y, Int U, U, Ux, Uy, Int V, V, Vx, Vy, Interation, ZNCC, 
138, 148, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.803538, 
148, 148, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.950712, 
158, 148, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.870086, 
168, 148, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.79808, 
178, 148, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.829107, 
188, 148, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.905593, 
198, 148, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.94795, 
208, 148, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.91573, 
218, 148, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.898296, 
228, 148, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.919623, 
18, 158, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.940952, 
28, 158, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.878908, 
38, 158, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.896836, 
48, 158, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.868207, 
58, 158, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.938132, 
68, 158, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.84464, 
78, 158, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.912893, 
88, 158, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.836138, 
98, 158, 1, 1, 0, 0, 0, 0, 0, 0, 5, 0.950225, 
108, 158, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.899478, 
118, 158, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.967785, 
128, 158, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.954945, 
138, 158, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.923415, 
148, 158, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.93864, 
158, 158, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.918154, 
168, 158, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.911798, 
178, 158, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.943225, 
